UUID,Title,Author,Language,Description,AI Result
a15b9438-7eea-45d6-a448-0bb3bb20ece9,Fitter food / by Sarah Brewer. ,"Brewer, Sarah.",English,"Brewer combines a balanced approach to food with an appreciation of the fact that busy men need eating that is easy, appetising and healthy. She fills gaps in nutritional knowledge, and gives programmes for putting on and losing weight. ","**Eat smart, look good, feel great. Get fit with Sarah Brewer's easy and delicious recipes!** 
"
5d2323b2-fc35-4ff1-8cb5-d58bc0e96790,"Fantastic voyage : live long enough to live forever / Ray Kurzweil, Terry Grossman. ","Kurzweil, Ray.",English,,"Want the secret to living forever (or at least a really long time)? Dive into ""Fantastic Voyage"" by Ray Kurzweil. 
"
541867bc-6984-4603-837f-72a14ffba0fb,Easy nickels and other stories on humour. ,,English,,"**Need a laugh?  ""Easy Nickels and Other Stories on Humor"" is your go-to for a dose of hilarious.** 
"
988fb288-b249-438b-aa7d-63a97718503c,Lessons in excellence from Charlie Trotter / by Paul Clarke. ,"Clarke, Paul.",English,,"**Unleash your inner chef. Discover culinary secrets from a legend in *Lessons in Excellence from Charlie Trotter*.** 
"
3b6c03e9-78b2-43b2-9a2c-0458049a6d19,"The Holocaust, the French, and the Jews / Susan Zuccotti. ","Zuccotti, Susan, 1940-",English,,"**Uncover the gripping history of the Holocaust in France and its impact on Jewish lives.** 
"
1544613c-1a7c-40ac-90c0-bbe932e79bd5,Innovation and research : a study in Australian industry. ,"Stubbs, Peter.",English,,"Uncover the secrets behind Aussie innovation! Dive into ""Innovation and Research"" by Peter Stubbs. 
"
12b6938c-6091-4abf-a7e5-701202f64c11,Software engineering for students : a programming approach / Douglas Bell. ,"Bell, Doug, 1944-",English,,"Level up your coding game! ""Software Engineering for Students"" teaches you programming through a practical approach. 
"
6822d569-2b31-417b-9cef-ce124b7419d6,"Uncle Tom's cabin : or, Life among the lowly / Harriet Beecher Stowe ; edited with an introd. by Ann Douglas. ","Stowe, Harriet Beecher, 1811-1896.",English,,"**Journey into the heart of pre-Civil War America with ""Uncle Tom's Cabin,"" a powerful story of slavery and resilience.** 
"
bece25c8-b216-4f38-b8cf-ce0fb639d9a2,The ecology of fishes / by G.V. Nikolsky ; translated from the Russian by L. Birkett. ,"Nikolsky, G. V. (George V.)",English,,"Dive into the underwater world and discover the fascinating ecology of fishes with Nikolsky's insightful book. 
"
4e42e719-9d7b-4bd6-af4c-03361464890e,"Xin tai : cheng gong de ren jiu shi he ni bu yi yang / [zuo zhe, An Kaili]. 心态 : 成功的人就是和你不一样 / [作者, 安凯莉]. ","An, Kaili.|安凯莉.",Chinese,,"**Unlock the secrets to success. Discover why successful people think differently in *Xin Tai*.** 
"
17431648-dec1-4f02-918d-7068a338d03b,"Sara Ivanhoe's 20 min. yoga makeover. Sculpted buns & thighs [videorecording] / Dragonfly Productions ; producer/director, Andrea Ambandos. ",,English,Yoga workout program aimed at defining and toning the lower body and strengthening legs. ,"**Sculpt your dream legs and glutes in just 20 minutes with Sara Ivanhoe's yoga makeover!** 
"
31e7acfb-8141-4173-b0a6-89ed02709a4d,Flower gardener / Pippa Greenwood. ,"Greenwood, Pippa.",English,,"**Pippa Greenwood's *Flower Gardener*: Everything you need to make your flower dreams bloom.** 
"
d6167cca-b3be-4355-aa5f-ded619a09bd6,Khmer bronzes : new interpretations of the past / Emma C. Bunker and Douglas Latchford. ,"Bunker, Emma C.",English,"""A range of sacred Khmer bronze images appeared during the third quarter of the first millennium CE unlike anything previously produced in the Kingdom of Cambodia. This cultural explosion developed during an elegant and glittering period of commerce and diplomacy in a Southeast Asian world related economically by trade and spiritually by faith. In Khmer Bronzes: New Interpretations of the Past, the authors explore this flowering of Khmer sacred art.""--Publisher's description. ","Dive into the glittering world of ancient Cambodia and explore a mysterious explosion of sacred art in ""Khmer Bronzes."" 
"
d0a9987f-7eb6-4233-b71e-59ea932dbcea,Lemons / by Christopher Idone ; photography by Kathryn Kleinman. ,"Idone, Christopher.",English,,"**Pucker up! Explore the zesty world of lemons with Christopher Idone. Delicious recipes & stunning photos await.** 
"
9be411db-3ae5-485f-a6e5-c9f72a555922,Experiment with movement / written by Bryan Murphy. ,"Murphy, Bryan.",English,,"**Ready to break free?**  **Experiment with movement** and discover your potential. 
"
563d2690-457e-4064-89d8-6aa2fde9db3e,"Women in Malaysia : breaking boundaries / edited by Roziah Omar, Azizah Hamzah. ",,English,,"**Discover the inspiring stories of Malaysian women shattering glass ceilings in ""Women in Malaysia: Breaking Boundaries"".** 
"
398a274b-3f18-4cb8-a00a-02d207fd0882,"Simply super paper : over 50 projects to cut, curl, twist and tease from paper / Sandra Lounsbury Foose. ","Foose, Sandra Lounsbury.",English,,"Unleash your creativity! ✂️  ""Simply Super Paper"" has 50+ projects to transform flat sheets into 3D art. 
"
6cd675d8-f3f6-425b-96e4-d78e64c7b69f,Zheng he she hui fu li zheng ce yu she hui gong zuo shi wu = Integrating social welfare poliey & social work practice / Kathleen McInnis-Dittrichyuan zhu ;  hu hui ying deng yi. 整合社会福利政策与社会工作实务 = Integrating social welfare poliey & social work practice / Kathleen McInnis-Dittrich原著 ;  胡慧莹等译. ,"McInnis-Dittrich, Kathleen, 1951-",chieng|English,,"Bridge the gap between policy and practice! Explore the powerful intersection of social welfare and social work in ""Integrating Social Welfare Policy & Social Work Practice"". 
"
e2bf21b0-6753-4386-b256-486fe1e24b83,Shanghai zen mo dai a? / Mi Lan zhu ; Addy cha hua. 上海怎么待啊? / 米兰著 ; Addy插画. ,"Mi, Lan.|米兰.",Chinese,,"**Craving adventure? Discover how to navigate the vibrant chaos of Shanghai in 米兰's captivating tale.  ** 
"
db673abe-7766-4ff2-94ea-0f0b89a94df2,Buying and selling real estate by owner / by Everett L. Gracey. ,"Gracey, Everett L.",English,,"**Ditch the realtor fees!** Learn the secrets of buying & selling real estate yourself with Everett Gracey's expert guide. 
"
b62b3990-4cd4-423e-88b9-e29bdc249401,The family secret : an anthology / edited by Jay David ; foreword by Migs Woodside. ,,English,,"Uncover *The Family Secret* in this gripping anthology. What will you risk to expose the truth? 
"
dab01592-3ca5-4ddd-9c7a-382e5f461dfd,"The Koreans : who they are, what they want, where their future lies / Michael Breen. ","Breen, Michael.",English,,"Unravel the mystery: **Who are the Koreans?** Discover their ambitions and future in this eye-opening read. 
"
996a3ceb-d3e4-4b16-a458-67c58bb60f18,Who guards a prince / Reginald Hill. ,"Hill, Reginald, 1936-",English,,"Who protects a prince when assassins lurk in every shadow? Dive into Reginald Hill's thrilling mystery. 
"
161c9388-c6bd-4536-9c32-a866782c1589,"Re nao de gang kou / zuo zhe, Nuobeite Geluhe ; hui tu, He'ermute Kelasi ; yi zhe, Hou Suqin. 热闹的港口 / 作者, 诺贝特•戈卢赫 ; 绘图, 赫尔穆特•科拉斯 ; 译者, 侯素琴. ","Golluch, Norbert.|戈卢赫, 诺贝特.",Chinese,,"Dive into the bustling world of ""Re nao de gang kou,"" a vibrant Chinese novel about life, love, and adventure in a lively harbor town. 
"
cb0f0d95-9f07-476d-932a-b4fa8570a038,"Jing dian zhong xiao gu shi / [wen zi bian ji, Lin Shuping ... [et al.]]. 经典忠孝故事 / [文字编辑, 林书屏 ... [et al.]]. ",,Chinese,,"**Journey through timeless tales of loyalty and filial piety in *Jing dian zhong xiao gu shi* - classic stories that still resonate today.** 
"
3c38e061-3b6e-4d33-a61d-7449a0aa591b,Perilaku politik elit Muhammadiyah / Haedar Nashir. ,"Nashir, Haedar.",Indonesian,"Political behavior of the elite of Muhamadiyah, an Indonesian Islamic organization; research in Pekajangan, Kabupaten Pekalongan, Central Java. ","Dive into the fascinating world of Indonesian politics with ""Perilaku politik elit Muhammadiyah""! 
"
f1da0e39-76e8-42e0-9444-7af4fd774ce3,The limits of tradition : peasants and land conflicts in Indonesia / Urano Mariko. ,"Urano, Mariko.",English,,"**Indonesian peasants fight for their land. Discover the limits of tradition in this gripping account.** 
"
83363b72-18c0-46fa-a620-b75e24d596af,"Secrets of the superyoung : the scientific reasons some people look ten years younger than they really are--and how you can, too / David Weeks and Jamie James. ","Weeks, David Joseph, 1944-",English,,"Unlock the secrets to looking 10 years younger! This book reveals the science behind youthful aging. 
"
f5ab902a-67c6-4b60-9ac5-e265d2ab9fc7,Babalian / Rosnani Sablee. ,Rosnani Sablee.,Malay,,"Dive into the world of ""Babalian"" by Rosnani Sablee, a captivating Malay story waiting to be explored. 
"
b0e00150-d5fb-4077-a4f4-1586f42f534b,"Managing or removing the career break : a report of a workshop held on 2nd December 1981 at the Westmoreland Hotel London / edited by Margery Povall, Joan Hastings. ",,English,,"**Career break holding you back? Discover how to manage or ditch it! (1981)** 
"
1a91a4d5-1156-413e-ab81-7a14e68a3b23,shen jia hua yuan zhi mi / Wei bin hai zhu ; [dai xiao ming cha tu]. 沈家花园之迷 / 魏滨海著 ; [戴晓明插图]. ,"Wei, Bin Hai.|魏滨海.",Chinese,,"Unravel the mystery of the Shen family garden in this captivating Chinese novel. 
"
1fcdb771-8688-449e-912f-82a7cfffddc0,Daggers and bayonets : a history / by Logan Thompson. ,"Thompson, Logan.",English,,"Uncover the deadly history hidden beneath the glint of daggers and bayonets. 
"
baa0464b-52a2-4aff-914b-aacfbec4498c,"Readings in business environment / edited by S.D. Sharma, Peter Rebello. ",,English,,"**Dive into the world of business with ""Readings in Business Environment"" - your guide to success!** 
"
a0f6f855-fd95-4681-9f68-a6f723a43aef,Dong wu / [Hejia bian zhu]. 动物 / [禾稼编著]. ,Hejia.|禾稼.,Chinese,,"Dive into the fascinating world of fauna with ""Dongwu,"" a captivating Chinese read exploring the wonders of the animal kingdom. 
"
e9980c5c-380f-489f-8f32-60d0c228f6de,Introduction to linear algebra [by] Franz E. Hohn. Under the editorship of Carl B. Allendoerfer. ,"Hohn, Franz Edward, 1915-1977.",English,,"Unlock the power of matrices and equations with ""Introduction to Linear Algebra"" by Franz E. Hohn. 
"
2103d997-dd95-4199-8989-2f7fe74e736a,"Food Act, 1983 (Act 281) & Food Regulations, 1985 : (as at 15th December 1990) / compiled by Legal Research Board. ",Malaysia.,English,,"**Unpack the mysteries of Malaysia's food laws! Dive into the Food Act of 1983 & its regulations (as of 1990).** 
"
51fb50ce-8ba2-49a8-b767-9d5abe0057c2,He de du bai / Cheng jun shi xuan. 河的独白 / 成君诗选. ,"Cheng, Jun, 1951-|成君, 1951-",Chinese,,"Dive into the lyrical world of ""He de du bai,"" a captivating selection of Chinese poetry by renowned author Cheng Jun, exploring themes of life, love, and the human experience. 
"
376fc65d-93d2-4beb-86da-0c5657e57beb,Clash of civilizations over an elevator in Piazza Vittorio / Amara Lakhous ; translated from the Italian by Ann Goldstein. ,"Lakhous, Amara, 1970-",English|Italian,,"Cultures clash in a hilarious whodunnit set in a Roman apartment building. 
"
e14e4620-5c60-4ba4-b7ef-74902ca84e4f,Colleges with programs for students with learning disabilities or attention deficit disorders. ,,English,,"**Find the perfect college that supports your learning style and helps you thrive!** 
"
e7fd99d5-1a87-4264-a9e5-0ae70bb7572d,"[Table showing real property in Singapore, 1821]. ",,English,,"**Uncover Singapore's 1821 real estate secrets!** 🏠🗝️  
"
