UUID,Title,Author,Language,Description,AI Result,Call to Action with Gemini_fewshot_v3
a15b9438-7eea-45d6-a448-0bb3bb20ece9,Fitter food / by Sarah Brewer. ,"Brewer, Sarah.",English,"Brewer combines a balanced approach to food with an appreciation of the fact that busy men need eating that is easy, appetising and healthy. She fills gaps in nutritional knowledge, and gives programmes for putting on and losing weight. ","**Eat smart, look good, feel great. Get fit with Sarah Brewer's easy and delicious recipes!** 
","Fuel your body and crush your goals with Fitter Food's easy, healthy, and delicious recipes.
"
5d2323b2-fc35-4ff1-8cb5-d58bc0e96790,"Fantastic voyage : live long enough to live forever / Ray Kurzweil, Terry Grossman. ","Kurzweil, Ray.",English,,"Want the secret to living forever (or at least a really long time)? Dive into ""Fantastic Voyage"" by Ray Kurzweil. 
","Hack your biology and journey towards immortality in Fantastic Voyage: Live Long Enough to Live Forever.
"
541867bc-6984-4603-837f-72a14ffba0fb,Easy nickels and other stories on humour. ,,English,,"**Need a laugh?  ""Easy Nickels and Other Stories on Humor"" is your go-to for a dose of hilarious.** 
","Ready for a laugh? Grab ""Easy Nickels and other stories on humour"" for a dose of witty tales.
"
988fb288-b249-438b-aa7d-63a97718503c,Lessons in excellence from Charlie Trotter / by Paul Clarke. ,"Clarke, Paul.",English,,"**Unleash your inner chef. Discover culinary secrets from a legend in *Lessons in Excellence from Charlie Trotter*.** 
","Unleash your inner chef with Charlie Trotter's lessons in excellence – a recipe for success in and out of the kitchen.
"
3b6c03e9-78b2-43b2-9a2c-0458049a6d19,"The Holocaust, the French, and the Jews / Susan Zuccotti. ","Zuccotti, Susan, 1940-",English,,"**Uncover the gripping history of the Holocaust in France and its impact on Jewish lives.** 
","Uncover the complex history of France and its Jewish population during the Holocaust in this powerful and essential read.
"
1544613c-1a7c-40ac-90c0-bbe932e79bd5,Innovation and research : a study in Australian industry. ,"Stubbs, Peter.",English,,"Uncover the secrets behind Aussie innovation! Dive into ""Innovation and Research"" by Peter Stubbs. 
","Uncover the secrets behind Australian innovation and explore the cutting-edge research shaping industries down under.
"
12b6938c-6091-4abf-a7e5-701202f64c11,Software engineering for students : a programming approach / Douglas Bell. ,"Bell, Doug, 1944-",English,,"Level up your coding game! ""Software Engineering for Students"" teaches you programming through a practical approach. 
","Code your future: Dive into software engineering with a practical programming approach in Software Engineering for Students.
"
6822d569-2b31-417b-9cef-ce124b7419d6,"Uncle Tom's cabin : or, Life among the lowly / Harriet Beecher Stowe ; edited with an introd. by Ann Douglas. ","Stowe, Harriet Beecher, 1811-1896.",English,,"**Journey into the heart of pre-Civil War America with ""Uncle Tom's Cabin,"" a powerful story of slavery and resilience.** 
","Experience the powerful story of Uncle Tom's Cabin and witness life among the lowly in this timeless exploration of humanity.
"
bece25c8-b216-4f38-b8cf-ce0fb639d9a2,The ecology of fishes / by G.V. Nikolsky ; translated from the Russian by L. Birkett. ,"Nikolsky, G. V. (George V.)",English,,"Dive into the underwater world and discover the fascinating ecology of fishes with Nikolsky's insightful book. 
","Dive into the underwater world and explore the fascinating ecology of fishes with Nikolsky's insightful work.
"
4e42e719-9d7b-4bd6-af4c-03361464890e,"Xin tai : cheng gong de ren jiu shi he ni bu yi yang / [zuo zhe, An Kaili]. 心态 : 成功的人就是和你不一样 / [作者, 安凯莉]. ","An, Kaili.|安凯莉.",Chinese,,"**Unlock the secrets to success. Discover why successful people think differently in *Xin Tai*.** 
","心态：成功之路，始于不一样的思维方式。
"
17431648-dec1-4f02-918d-7068a338d03b,"Sara Ivanhoe's 20 min. yoga makeover. Sculpted buns & thighs [videorecording] / Dragonfly Productions ; producer/director, Andrea Ambandos. ",,English,Yoga workout program aimed at defining and toning the lower body and strengthening legs. ,"**Sculpt your dream legs and glutes in just 20 minutes with Sara Ivanhoe's yoga makeover!** 
","Sculpt your dream legs and glutes in just 20 minutes a day with Sara Ivanhoe's yoga makeover – borrow it now!
"
31e7acfb-8141-4173-b0a6-89ed02709a4d,Flower gardener / Pippa Greenwood. ,"Greenwood, Pippa.",English,,"**Pippa Greenwood's *Flower Gardener*: Everything you need to make your flower dreams bloom.** 
","Unleash your inner gardener with Pippa Greenwood's Flower Gardener and cultivate a blooming masterpiece.
"
d6167cca-b3be-4355-aa5f-ded619a09bd6,Khmer bronzes : new interpretations of the past / Emma C. Bunker and Douglas Latchford. ,"Bunker, Emma C.",English,"""A range of sacred Khmer bronze images appeared during the third quarter of the first millennium CE unlike anything previously produced in the Kingdom of Cambodia. This cultural explosion developed during an elegant and glittering period of commerce and diplomacy in a Southeast Asian world related economically by trade and spiritually by faith. In Khmer Bronzes: New Interpretations of the Past, the authors explore this flowering of Khmer sacred art.""--Publisher's description. ","Dive into the glittering world of ancient Cambodia and explore a mysterious explosion of sacred art in ""Khmer Bronzes."" 
","Uncover the mysteries of ancient Cambodia through stunning Khmer bronzes and a glittering age of art and faith.
"
d0a9987f-7eb6-4233-b71e-59ea932dbcea,Lemons / by Christopher Idone ; photography by Kathryn Kleinman. ,"Idone, Christopher.",English,,"**Pucker up! Explore the zesty world of lemons with Christopher Idone. Delicious recipes & stunning photos await.** 
","Pucker up for Lemons, a visual feast by Christopher Idone and Kathryn Kleinman.
"
9be411db-3ae5-485f-a6e5-c9f72a555922,Experiment with movement / written by Bryan Murphy. ,"Murphy, Bryan.",English,,"**Ready to break free?**  **Experiment with movement** and discover your potential. 
","Unleash your potential: Experiment with movement and discover what your body can do.
"
563d2690-457e-4064-89d8-6aa2fde9db3e,"Women in Malaysia : breaking boundaries / edited by Roziah Omar, Azizah Hamzah. ",,English,,"**Discover the inspiring stories of Malaysian women shattering glass ceilings in ""Women in Malaysia: Breaking Boundaries"".** 
","Discover the inspiring stories of Malaysian women shattering glass ceilings and breaking boundaries.
"
398a274b-3f18-4cb8-a00a-02d207fd0882,"Simply super paper : over 50 projects to cut, curl, twist and tease from paper / Sandra Lounsbury Foose. ","Foose, Sandra Lounsbury.",English,,"Unleash your creativity! ✂️  ""Simply Super Paper"" has 50+ projects to transform flat sheets into 3D art. 
","Unleash your creativity with 50+ paper projects that will twist, curl, and tease your imagination – grab Simply Super Paper today!
"
